Rodada 1, Perda: 3.369792159195918
Rodada 2, Perda: 2.2440860734623707
Rodada 3, Perda: 2.1888067767878248
Rodada 4, Perda: 1.4282610072831439
Rodada 5, Perda: 1.4346875567345103
Rodada 6, Perda: 1.0922990535285062
Rodada 7, Perda: 1.3526060704592686
Rodada 8, Perda: 1.1124014190997287
Rodada 9, Perda: 0.898879414531076
Rodada 10, Perda: 0.8950693886371175
Rodada 11, Perda: 0.8022259246961326
Rodada 12, Perda: 0.8767500574801378
Rodada 13, Perda: 0.8610755073226941
Rodada 14, Perda: 0.7934133131412944
Rodada 15, Perda: 0.8699660491032205
Rodada 16, Perda: 0.8526576784955469
Rodada 17, Perda: 0.9089796514647781
Rodada 18, Perda: 0.7566181580731823
Rodada 19, Perda: 0.871029777891317
Rodada 20, Perda: 0.858392404143218
Rodada 21, Perda: 0.8289482311648169
Rodada 22, Perda: 1.0118541949114221
Rodada 23, Perda: 0.9110341198315286
Rodada 24, Perda: 0.7212139222842113
Rodada 25, Perda: 0.8581416553752438
Rodada 26, Perda: 0.9900114752684429
Rodada 27, Perda: 0.977267465394014
Rodada 28, Perda: 0.8659416378303698
Rodada 29, Perda: 1.0985558309183
Rodada 30, Perda: 1.015197622643155
Rodada 31, Perda: 0.9854188085931121
Rodada 32, Perda: 1.180741748612398
Rodada 33, Perda: 0.8793988562883086
Rodada 34, Perda: 0.905576693688988
Rodada 35, Perda: 0.8608494750253713
Rodada 36, Perda: 1.08797194243996
Rodada 37, Perda: 0.8997291234458328
Rodada 38, Perda: 0.976931762828189
Rodada 39, Perda: 1.1112512210561971
Rodada 40, Perda: 1.0928245597774056
Rodada 41, Perda: 0.9886938081045819
Rodada 42, Perda: 1.0910076526509729
Rodada 43, Perda: 1.3465910354617294
Rodada 44, Perda: 0.9344267027013621
Rodada 45, Perda: 1.0832490016510532
Rodada 46, Perda: 1.1548054447029805
Rodada 47, Perda: 1.0390223167884123
Rodada 48, Perda: 0.980368979037947
Rodada 49, Perda: 0.9417816875087228
Rodada 50, Perda: 1.4962161384570372
