Epoch 0 1 2 3 4 5 6 7 8 9
0 9 6 19 6 0 6 16 6 12 4
1 0 13 7 14 20 20 8 9 15 18
2 0 15 11 10 11 6 19 11 15 20
3 8 3 9 0 3 6 20 12 16 0
4 17 12 8 2 13 6 14 18 20 3
5 7 5 20 17 8 16 18 1 12 17
6 16 4 19 15 13 9 13 16 4 3
7 9 16 17 13 19 15 13 13 18 4
8 2 5 10 5 12 17 14 0 7 20
9 6 18 8 18 2 11 0 6 8 4
10 17 2 11 19 6 16 16 7 1 2
11 3 19 12 13 15 9 7 9 18 19
12 15 17 13 20 20 1 13 15 1 1
13 10 14 8 4 10 13 8 8 17 20
14 8 2 19 1 19 11 20 10 13 14
15 0 2 12 18 16 20 9 13 6 17
16 6 2 11 1 1 3 14 7 11 14
17 2 16 10 5 9 20 6 2 5 6
18 18 9 3 7 3 1 9 20 4 18
19 6 8 1 15 11 6 3 12 19 7
20 16 14 12 8 19 17 17 16 5 12
21 14 4 11 18 5 4 13 4 7 5
22 20 7 6 6 19 7 5 1 5 3
23 12 6 16 7 16 5 3 5 9 9
24 3 8 16 3 11 3 15 2 8 0
25 5 6 14 6 13 1 9 20 12 4
26 20 3 17 11 11 5 13 2 10 13
27 13 2 17 14 0 11 14 6 11 12
28 12 0 9 17 2 20 10 1 19 16
29 14 1 20 8 1 18 17 1 5 11
30 11 15 12 4 18 0 9 6 10 13
31 1 16 16 5 6 8 9 16 14 20
32 1 10 3 2 2 6 13 0 5 15
33 13 4 5 17 6 0 12 2 6 5
34 5 10 8 11 3 7 15 12 8 14
35 11 19 16 10 12 17 18 0 9 3
36 2 7 4 6 14 3 7 6 16 15
37 17 14 4 17 0 7 19 10 9 20
38 4 1 8 18 1 11 0 8 4 7
39 1 9 0 7 15 11 10 1 5 8
40 1 15 10 19 18 9 12 18 18 4
41 19 9 12 17 14 8 2 13 5 20
42 10 3 10 2 15 20 1 14 19 6
43 13 2 14 4 2 14 8 11 14 16
44 1 14 14 6 17 18 11 19 16 19
45 3 12 13 16 12 0 10 16 14 19
46 3 12 10 13 5 2 19 9 11 17
47 9 1 5 12 17 20 5 4 17 16
48 10 5 11 6 6 3 18 9 0 19
49 1 19 8 18 3 6 10 12 1 2
50 13 0 20 1 11 18 1 2 9 10
51 15 15 8 3 4 19 16 1 7 7
52 2 0 2 17 5 9 20 18 4 8
53 15 2 15 18 10 13 18 19 7 14
54 5 2 5 15 6 19 4 5 19 4
55 14 13 20 11 18 14 9 5 20 14
56 5 20 17 9 20 5 18 0 18 10
57 0 17 4 14 5 12 6 10 20 5
58 15 18 13 1 16 16 1 7 12 11
59 4 10 4 18 16 0 19 16 17 0
60 9 15 8 14 17 3 11 8 3 4
61 12 15 16 12 9 7 14 15 20 16
62 15 17 17 4 13 10 5 5 9 19
63 17 7 5 9 11 20 9 1 19 16
64 7 19 11 10 0 18 19 1 19 12
65 13 16 14 15 17 19 12 16 4 7
66 10 14 15 7 4 20 3 15 11 5
67 19 7 10 5 15 14 16 15 7 8
68 3 13 12 4 17 7 1 2 16 15
69 11 4 16 13 2 11 16 1 17 20
70 3 4 10 18 6 9 17 0 15 10
71 2 10 11 16 11 0 2 15 16 11
72 3 11 16 20 9 11 14 8 20 6
73 12 6 16 7 15 6 12 18 14 13
74 4 4 19 13 3 19 2 12 11 20
75 14 17 15 18 0 3 1 6 5 14
76 1 12 8 20 2 20 6 6 16 17
77 12 17 18 7 4 20 18 18 6 1
78 1 8 4 16 7 5 5 12 14 10
79 10 20 13 16 18 12 20 2 8 16
80 9 17 12 10 2 8 10 17 2 15
81 3 4 7 17 5 6 8 14 5 12
82 9 19 8 17 11 0 13 5 12 4
83 8 11 1 12 7 3 13 20 19 18
84 16 10 13 7 15 7 4 15 9 4
85 19 1 5 3 1 12 15 5 16 1
86 7 6 12 2 6 15 19 17 20 0
87 10 6 4 2 11 17 9 4 16 15
88 13 8 12 4 2 12 11 9 18 3
89 4 2 12 17 2 6 5 18 17 10
90 4 5 11 14 4 3 0 3 8 14
91 11 17 4 12 14 9 10 19 16 11
92 0 1 9 4 14 17 16 15 6 12
93 7 4 9 1 0 15 20 1 7 3
94 7 3 18 1 11 2 13 5 7 19
95 9 5 5 13 20 2 13 12 7 7
96 19 2 0 0 18 4 3 7 12 19
97 18 13 2 13 17 1 7 15 15 6
98 5 4 6 8 11 3 13 20 3 6
99 18 6 16 5 6 4 7 6 6 14
